10AF	55 2D0F	# Ⴏ => Uⴏ
10B0	55 2D10	# Ⴐ => Uⴐ
10B1	55 2D11	# Ⴑ => Uⴑ
10B2	55 2D12	# Ⴒ => Uⴒ
10B3	55 2D13	# Ⴓ => Uⴓ
10B4	55 2D14	# Ⴔ => Uⴔ
10B5	55 2D15	# Ⴕ => Uⴕ
10B6	55 2D16	# Ⴖ => Uⴖ
10B7	55 2D17	# Ⴗ => Uⴗ
10B8	55 2D18	# Ⴘ => Uⴘ
10B9	55 2D19	# Ⴙ => Uⴙ
10BA	55 2D1A	# Ⴚ => Uⴚ
10BB	55 2D1B	# Ⴛ => Uⴛ
10BC	55 2D1C	# Ⴜ => Uⴜ
10BD	55 2D1D	# Ⴝ => Uⴝ
10BE	55 2D1E	# Ⴞ => Uⴞ
10BF	55 2D1F	# Ⴟ => Uⴟ
10C0	55 2D20	# Ⴠ => Uⴠ
10C1	55 2D21	# Ⴡ => Uⴡ
10C2	55 2D22	# Ⴢ => Uⴢ
10C3	55 2D23	# Ⴣ => Uⴣ
10C4	55 2D24	# Ⴤ => Uⴤ
10C5	55 2D25	# Ⴥ => Uⴥ
10C7	55 2D27	# Ⴧ => Uⴧ
10CD	55 2D2D	# Ⴭ => Uⴭ
10FB	50 10FB	# ჻ => P჻
1360	50 1360	# ፠ => P፠
1361	50 1361	# ፡ => P፡
1362	50 1362	# ። => P።
1363	50 1363	# ፣ => P፣
1364	50 1364	# ፤ => P፤
1365	50 1365	# ፥ => P፥
1366	50 1366	# ፦ => P፦
1367	50 1367	# ፧ => P፧
1368	50 1368	# ፨ => P፨
1400	50 1400	# ᐀ => P᐀
166E	50 166E	# ᙮ => P᙮
169B	50 169B	# ᚛ => P᚛
169C	50 169C	# ᚜ => P᚜
16EB	50 16EB	# ᛫ => P᛫
16EC	50 16EC	# ᛬ => P᛬
16ED	50 16ED	# ᛭ => P᛭
1735	50 1735	# ᜵ => P᜵
1736	50 1736	# ᜶ => P᜶
17D4	50 17D4	# ។ => P។
17D5	50 17D5	# ៕ => P៕
17D6	50 17D6	# ៖ => P៖
17D8	50 17D8	# ៘ => P៘
17D9	50 17D9	# ៙ => P៙
17DA	50 17DA	# ៚ => P៚
1800	50 1800	# ᠀ => P᠀
1801	50 1801	# ᠁ => P᠁
1802	50 1802	# ᠂ => P᠂
1803	50 1803	# ᠃ => P᠃
1804	50 1804	# ᠄ => P᠄
1805	50 1805	# ᠅ => P᠅
1806	50 1806	# ᠆ => P᠆
1807	50 1807	# ᠇ => P᠇
1808	50 1808	# ᠈ => P᠈
1809	50 1809	# ᠉ => P᠉
180A	50 180A	# ᠊ => P᠊
1944	50 1944	# ᥄ => P᥄
1945	50 1945	# ᥅ => P᥅
1A1E	50 1A1E	# ᨞ => P᨞
1A1F	50 1A1F	# ᨟ => P᨟
1AA0	50 1AA0	# ᪠ => P᪠
1AA1	50 1AA1	# ᪡ => P᪡
1AA2	50 1AA2	# ᪢ => P᪢
1AA3	50 1AA3	# ᪣ => P᪣
1AA4	50 1AA4	# ᪤ => P᪤
1AA5	50 1AA5	# ᪥ => P᪥
1AA6	50 1AA6	# ᪦ => P᪦
1AA8	50 1AA8	# ᪨ => P᪨
1AA9	50 1AA9	# ᪩ => P᪩
1AAA	50 1AAA	# ᪪ => P᪪
1AAB	50 1AAB	# ᪫ => P᪫
1AAC	50 1AAC	# ᪬ => P᪬
1AAD	50 1AAD	# ᪭ => P᪭
1B4E	50 1B4E	# ᭎ => P᭎
1B4F	50 1B4F	# ᭏ => P᭏
1B5A	50 1B5A	# ᭚ => P᭚
1B5B	50 1B5B	# ᭛ => P᭛
1B5C	50 1B5C	# ᭜ => P᭜
1B5D	50 1B5D	# ᭝ => P᭝
1B5E	50 1B5E	# ᭞ => P᭞
1B5F	50 1B5F	# ᭟ => P᭟
1B60	50 1B60	# ᭠ => P᭠
1B7D	50 1B7D	# ᭽ => P᭽
1B7E	50 1B7E	# ᭾ => P᭾
1B7F	50 1B7F	# ᭿ => P᭿
1BFC	50 1BFC	# ᯼ => P᯼
1BFD	50 1BFD	# ᯽ => P᯽
1BFE	50 1BFE	# ᯾ => P᯾
1BFF	50 1BFF	# ᯿ => P᯿
1C3B	50 1C3B	# ᰻ => P᰻
1C3C	50 1C3C	# ᰼ => P᰼
1C3D	50 1C3D	# ᰽ => P᰽
1C3E	50 1C3E	# ᰾ => P᰾
1C3F	50 1C3F	# ᰿ => P᰿
1C7E	50 1C7E	# ᱾ => P᱾
1C7F	50 1C7F	# ᱿ => P᱿
1C89	55 1C8A	# Ᲊ => Uᲊ
1C90	55 10D0	# Ა => Uა
1C91	55 10D1	# Ბ => Uბ
1C92	55 10D2	# Გ => Uგ
1C93	55 10D3	# Დ => Uდ
1C94	55 10D4	# Ე => Uე
1C95	55 10D5	# Ვ => Uვ
1C96	55 10D6	# Ზ => Uზ
1C97	55 10D7	# Თ => Uთ
